Model,SoldPrice,Kilometers,Year,Owner,ConditionScore,Brand,Age,OwnerRank,FuelType_Diesel,FuelType_Petrol,Transmission_AUTOMATIC,Transmission_MANUAL,FeaturesVector
celerio vxi,4885.1,17382,2014,First Owner,9.8,maruti,12,1,0,1,1,0,"[0.42857142857142855, 0.01926270924759757, 0.9500000000000002, 0.0, 1, 0, 0, 1]"
asta,4120.79,24598,2012,First Owner,8.6,hyundaii20,14,1,0,1,0,1,"[0.5714285714285714, 0.027702791215577657, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
magna1.2,4651.19,63082,2013,First Owner,9.0,hyundaii10,13,1,0,1,0,1,"[0.49999999999999994, 0.0727150021989127, 0.75, 0.0, 1, 0, 1, 0]"
figo1.2 zxi,1786.79,44624,2010,First Owner,8.8,ford,16,1,0,1,0,1,"[0.7142857142857142, 0.05112589009179291, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
alto800,2914.79,36483,2013,First Owner,8.6,maruti,13,1,0,1,0,1,"[0.49999999999999994, 0.04160389628617679, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
verna fluidic1.6 sx,6451.19,54675,2013,Second Owner,8.4,hyundai,13,2,0,1,0,1,"[0.49999999999999994, 0.06288188563782504, 0.6000000000000001, 0.5, 1, 0, 1, 0]"
sportz1.1,3572.39,36271,2014,First Owner,8.2,hyundaii10,12,1,0,1,0,1,"[0.42857142857142855, 0.0413559337893348, 0.5499999999999998, 0.0, 1, 0, 1, 0]"
city vmt,8470.79,58561,2017,Second Owner,9.4,honda,9,2,0,1,0,1,"[0.21428571428571425, 0.06742708499031543, 0.8500000000000001, 0.5, 1, 0, 1, 0]"
alto800,2561.11,65775,2013,Second Owner,9.0,maruti,13,2,0,1,0,1,"[0.49999999999999994, 0.07586482768945739, 0.75, 0.5, 1, 0, 1, 0]"
swift,2410.79,121591,2010,First Owner,8.2,maruti,16,1,0,1,0,1,"[0.7142857142857142, 0.14114914242404392, 0.5499999999999998, 0.0, 1, 0, 1, 0]"
alto,2040.43,84335,2008,First Owner,7.8,maruti,18,1,0,1,0,1,"[0.857142857142857, 0.09757324250732191, 0.44999999999999996, 0.0, 1, 0, 1, 0]"
swift dzire vxi1.2 bs,4556.39,46846,2012,First Owner,8.4,maruti,14,1,0,1,0,1,"[0.5714285714285714, 0.05372481777095751, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
era1.1,4070.39,22030,2012,First Owner,7.6,hyundaii10,14,1,0,1,0,1,"[0.5714285714285714, 0.02469917002741623, 0.3999999999999999, 0.0, 1, 0, 1, 0]"
scorpio,18761.99,6184,2020,First Owner,9.8,mahindra,6,1,1,0,0,1,"[0.0, 0.006165143022896764, 0.9500000000000002, 0.0, 0, 1, 1, 0]"
brio1.2 smti,3599.99,52789,2012,First Owner,8.6,honda,14,1,0,1,0,1,"[0.5714285714285714, 0.0606759551234666, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
wagon r1.0,2635.19,65475,2012,First Owner,8.6,maruti,14,1,0,1,0,1,"[0.5714285714285714, 0.0755139373637376, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
magnao,3524.39,84927,2011,First Owner,8.6,hyundaii20,15,1,0,1,0,1,"[0.6428571428571428, 0.09826566608340898, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
brio1.2 smti,3358.79,55782,2012,Second Owner,8.2,honda,14,2,0,1,0,1,"[0.5714285714285714, 0.06417667093973108, 0.5499999999999998, 0.5, 1, 0, 1, 0]"
